Año;Sexo;Código Localidad;Localidad;Grupo de edad;Régimen Aseguramiento;Código CIE10;Descripción causa básica de muerte;Grupo condición crónica;Muertes total
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;7
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;3
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;4
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C530;TUMOR MALIGNO DEL ENDOCERVIX;Neoplasias malignas;1
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;3
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C910;LEUCEMIA LINFOBLASTICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C920;LEUCEMIA MIELOIDE AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;30 a 34 años;Contributivo;C959;LEUCEMIA, NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;30 a 34 años;No Asegurado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;30 a 34 años;No Asegurado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;2
2010;Femenino;21;Distrito;30 a 34 años;Sin dato;C920;LEUCEMIA MIELOIDE AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;30 a 34 años;Subsidiado;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;30 a 34 años;Subsidiado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;4
2010;Femenino;21;Distrito;30 a 34 años;Subsidiado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;4
2010;Femenino;21;Distrito;30 a 34 años;Subsidiado;C924;LEUCEMIA PROMIELOCITICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;Contributivo;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;8
2010;Femenino;21;Distrito;35 a 39 años;Contributivo;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;35 a 39 años;Contributivo;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;35 a 39 años;Contributivo;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;14
2010;Femenino;21;Distrito;35 a 39 años;Contributivo;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;10
2010;Femenino;21;Distrito;35 a 39 años;Contributivo;C910;LEUCEMIA LINFOBLASTICA AGUDA;Neoplasias malignas;2
2010;Femenino;21;Distrito;35 a 39 años;Contributivo;C920;LEUCEMIA MIELOIDE AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;Contributivo;C959;LEUCEMIA, NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;Especial;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;Excepcion;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;No Asegurado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;No Asegurado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;Sin dato;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;Subsidiado;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;Subsidiado;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;35 a 39 años;Subsidiado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;4
2010;Femenino;21;Distrito;35 a 39 años;Subsidiado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;7
