Localidad;Año;Regimen afiliación;Estimado afiliados
Usaquén;2013;R. contributivo;403,296
Chapinero;2013;R. contributivo;116,387
Santa Fe;2013;R. contributivo;61,271
San Cristóbal;2013;R. contributivo;238,059
Usme;2013;R. contributivo;254,574
Tunjuelito;2013;R. contributivo;124,627
Bosa;2013;R. contributivo;382,261
Kennedy;2013;R. contributivo;744,351
Fontibón;2013;R. contributivo;292,444
Engativá;2013;R. contributivo;667.08
Suba;2013;R. contributivo;895,866
Barrios Unidos;2013;R. contributivo;196,894
Teusaquillo;2013;R. contributivo;136,358
Los Mártires;2013;R. contributivo;71,512
Antonio Nariño;2013;R. contributivo;83,728
Puente Aranda;2013;R. contributivo;201,453
La Candelaria;2013;R. contributivo;16,817
Rafael Uribe Uribe;2013;R. contributivo;222,288
Ciudad Bolívar;2013;R. contributivo;366.27
Sumapaz;2013;R. contributivo;4,368
Sin dato de localidad;2013;R. contributivo;0
Distrito;2013;R. contributivo;5,479,904
Usaquén;2013;R. excepción;18,421
Chapinero;2013;R. excepción;3,409
Santa Fe;2013;R. excepción;2,309
San Cristóbal;2013;R. excepción;6,127
Usme;2013;R. excepción;4,575
Tunjuelito;2013;R. excepción;10,866
Bosa;2013;R. excepción;16,544
Kennedy;2013;R. excepción;41,683
Fontibón;2013;R. excepción;15,211
Engativá;2013;R. excepción;36,075
Suba;2013;R. excepción;39,212
Barrios Unidos;2013;R. excepción;12,767
Teusaquillo;2013;R. excepción;5,072
Los Mártires;2013;R. excepción;2,954
Antonio Nariño;2013;R. excepción;5,865
Puente Aranda;2013;R. excepción;14,196
La Candelaria;2013;R. excepción;338
Rafael Uribe Uribe;2013;R. excepción;11.68
Ciudad Bolívar;2013;R. excepción;20,565
Sumapaz;2013;R. excepción;25
Sin dato de localidad;2013;R. excepción;709
Distrito;2013;R. excepción;268,603
Usaquén;2013;R. subsidiado;34,611
Chapinero;2013;R. subsidiado;9,756
Santa Fe;2013;R. subsidiado;37.12
San Cristóbal;2013;R. subsidiado;119,127
Usme;2013;R. subsidiado;114,703
Tunjuelito;2013;R. subsidiado;44,359
Bosa;2013;R. subsidiado;143,772
Kennedy;2013;R. subsidiado;142,447
Fontibón;2013;R. subsidiado;26.72
Engativá;2013;R. subsidiado;78,534
Suba;2013;R. subsidiado;92,471
Barrios Unidos;2013;R. subsidiado;14,209
Teusaquillo;2013;R. subsidiado;1,976
Los Mártires;2013;R. subsidiado;15.62
Antonio Nariño;2013;R. subsidiado;9,589
Puente Aranda;2013;R. subsidiado;18,904
La Candelaria;2013;R. subsidiado;5,406
Rafael Uribe Uribe;2013;R. subsidiado;98.28
Ciudad Bolívar;2013;R. subsidiado;203,876
Sumapaz;2013;R. subsidiado;1,426
Sin dato de localidad;2013;R. subsidiado;54,935
Distrito;2013;R. subsidiado;1,267,841
Usaquén;2013;No afiliados;13,349
Chapinero;2013;No afiliados;2,446
Santa Fe;2013;No afiliados;6,953
San Cristóbal;2013;No afiliados;36,259
Usme;2013;No afiliados;32,523
Tunjuelito;2013;No afiliados;16,716
Bosa;2013;No afiliados;55,877
Kennedy;2013;No afiliados;85,754
Fontibón;2013;No afiliados;16,852
Engativá;2013;No afiliados;52,291
Suba;2013;No afiliados;59.28
Barrios Unidos;2013;No afiliados;5,197
Teusaquillo;2013;No afiliados;659
Los Mártires;2013;No afiliados;5,689
Antonio Nariño;2013;No afiliados;6,293
Puente Aranda;2013;No afiliados;16,013
La Candelaria;2013;No afiliados;970
Rafael Uribe Uribe;2013;No afiliados;36,203
Ciudad Bolívar;2013;No afiliados;58,984
Sumapaz;2013;No afiliados;358
Sin dato de localidad;2013;No afiliados;0
Distrito;2013;No afiliados;508,666
Usaquén;2014;R. contributivo;447,579
Chapinero;2014;R. contributivo;112,745
Santa Fe;2014;R. contributivo;60,094
San Cristóbal;2014;R. contributivo;264,021
Usme;2014;R. contributivo;243,887
Tunjuelito;2014;R. contributivo;130,077
Bosa;2014;R. contributivo;413,713
Kennedy;2014;R. contributivo;772,697
Fontibón;2014;R. contributivo;321,335
Engativá;2014;R. contributivo;733,132
Suba;2014;R. contributivo;972,656
Barrios Unidos;2014;R. contributivo;200,619
Teusaquillo;2014;R. contributivo;138,969
Los Mártires;2014;R. contributivo;67,717
Antonio Nariño;2014;R. contributivo;80,487
Puente Aranda;2014;R. contributivo;204,562
La Candelaria;2014;R. contributivo;16,082
Rafael Uribe Uribe;2014;R. contributivo;224.8
Ciudad Bolívar;2014;R. contributivo;359,719
Sumapaz;2014;R. contributivo;1,394
Sin dato de localidad;2014;R. contributivo;0
Distrito;2014;R. contributivo;5,766,285
Usaquén;2014;R. excepción;18,601
Chapinero;2014;R. excepción;3,432
Santa Fe;2014;R. excepción;2,309
San Cristóbal;2014;R. excepción;6,111
Usme;2014;R. excepción;4,697
Tunjuelito;2014;R. excepción;10,839
Bosa;2014;R. excepción;16,984
Kennedy;2014;R. excepción;42,194
Fontibón;2014;R. excepción;15.58
Engativá;2014;R. excepción;36,402
Suba;2014;R. excepción;40,144
Barrios Unidos;2014;R. excepción;12,872
Teusaquillo;2014;R. excepción;5,108
Los Mártires;2014;R. excepción;2,959
Antonio Nariño;2014;R. excepción;5,873
Puente Aranda;2014;R. excepción;14,198
La Candelaria;2014;R. excepción;337
Rafael Uribe Uribe;2014;R. excepción;11,657
Ciudad Bolívar;2014;R. excepción;20,939
Sumapaz;2014;R. excepción;25
Sin dato de localidad;2014;R. excepción;0
Distrito;2014;R. excepción;271,261
Usaquén;2014;R. subsidiado;30,418
Chapinero;2014;R. subsidiado;9,742
Santa Fe;2014;R. subsidiado;35,668
San Cristóbal;2014;R. subsidiado;114,537
Usme;2014;R. subsidiado;115,135
Tunjuelito;2014;R. subsidiado;41,843
Bosa;2014;R. subsidiado;150,602
Kennedy;2014;R. subsidiado;148,398
Fontibón;2014;R. subsidiado;26,552
Engativá;2014;R. subsidiado;73,725
Suba;2014;R. subsidiado;93,429
Barrios Unidos;2014;R. subsidiado;12,868
Teusaquillo;2014;R. subsidiado;1,827
Los Mártires;2014;R. subsidiado;16,349
Antonio Nariño;2014;R. subsidiado;9,411
Puente Aranda;2014;R. subsidiado;19,871
La Candelaria;2014;R. subsidiado;4,864
Rafael Uribe Uribe;2014;R. subsidiado;96,736
Ciudad Bolívar;2014;R. subsidiado;205,518
Sumapaz;2014;R. subsidiado;1,473
Sin dato de localidad;2014;R. subsidiado;65,329
Distrito;2014;R. subsidiado;1,274,295
Usaquén;2014;No afiliados;7,203
Chapinero;2014;No afiliados;1,355
Santa Fe;2014;No afiliados;3,912
San Cristóbal;2014;No afiliados;20.39
Usme;2014;No afiliados;17,938
Tunjuelito;2014;No afiliados;9,243
Bosa;2014;No afiliados;32,336
Kennedy;2014;No afiliados;50,185
Fontibón;2014;No afiliados;10,027
